reserve_id,priority,category,core_logic_name,title_zh,paper_key,paper_title,authors,year,source_url,closest_existing_v01_v50,structural_difference,causal_landing,pure_spot_fields,side_mapping,small_sample_adaptation,candidate_parameter_dimensions,candidate_schema,candidate_schema_formula,candidate_count_per_side,random_seed_is_candidate_axis,primary_risk,status
V51,A1,动态尾部,caviar_dynamic_quantile,CAViaR 动态条件分位,caviar,CAViaR,Engle and Manganelli,2004,https://doi.org/10.1198/073500104000000370,V49/V50 的分位距离与门控,从静态滚动分位排序改为分位数自身的递推状态，参数由动态 quantile loss 约束。,用已完成 O2O、绝对收益、区间和成交冲击递推 lower/upper quantile；更新只读历史残差。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌拟合 lower-tail；上涨拟合 upper-tail；共享特征集合但分开递推参数。,低维一阶递推、固定少数初值、分位损失加 L2 收缩；不搜索模型族外的自由结构。,递推滞后8 × 持久/记忆8 × 链接4 × 覆盖率12,dynamic_quantile,8递推结构 × 8记忆/持久参数 × 4观测与非对称链接 × 12覆盖率,3072,False,分位损失非凸、尾部样本稀少、初始化敏感。,reserve_only_not_created_not_run
V52,A1,动态尾部,care_dynamic_expectile,CARE 动态条件期望,care,CARE,Taylor,2008,https://doi.org/10.1093/jjfinec/nbn001,V49/V50 的分位带和不确定性门控,目标由分位变为非对称 expectile，直接学习尾部条件位置并允许厚尾残差。,用 O2O 收益、绝对收益、真实振幅和成交冲击构造因果 expectile recursion；不使用期权 VaR。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌用低 expectile；上涨用高 expectile；各侧独立非对称损失。,只保留一阶/两阶递推和少量 expectile levels；对斜率做区间收缩，报告有效样本量。,递推阶数8 × 记忆8 × 非对称观测链接4 × 覆盖率12,dynamic_quantile,8递推结构 × 8记忆/持久参数 × 4观测与非对称链接 × 12覆盖率,3072,False,expectile 对异常值敏感，和 quantile 结果可能高度相关。,reserve_only_not_created_not_run
V53,A1,状态切换,bayesian_online_changepoint,贝叶斯在线变点运行长度,bocpd,Bayesian online changepoint detection,Adams and MacKay,2007,https://arxiv.org/abs/0710.3742,V37–V40 的单一滚动状态门控,显式维护 run-length 后验和 hazard，而非把状态压成一个滚动秩。,以 O2O/区间/成交冲击的稳健标准化残差做在线变点更新；每个 t 只保留过去 run-length 后验。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,变点后验作为共同风险状态；lower/upper 方向由各侧残差和尾部基准分别映射。,限制最大 run length、固定 hazard 候选、使用共轭/近似学生 t 预测，避免高维后验。,hazard/状态结构8 × 变点持续参数8 × 收缩4 × 覆盖率12,regime,8状态或风险率结构 × 8转移/持续期参数 × 4收缩方式 × 12覆盖率,3072,False,hazard 错设、短样本后验过度自信、变点标签不稳定。,reserve_only_not_created_not_run
V54,A1,区间波动,har_range_distribution,HAR 区间波动多尺度级联,har,HAR-RV,Corsi,2009,https://doi.org/10.1093/jjfinec/nbp001,V09–V16 的固定窗口波动秩,把日、周、月的区间波动作为层级状态并递推条件分布，区别于单层 rank 聚合。,用 Parkinson、Rogers-Satchell、真实振幅等现货区间代理，按日/5日/22日滚动均值形成 HAR；全程滞后一期。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,波动级联作共同尺度；方向项对下跌/上涨分别进入两个 tail link。,只保留三层 HAR、固定少量滞后和 ridge 收缩；不引入高频 realized measure。,区间代理8 × 多尺度记忆8 × 方向非对称4 × 覆盖率12,range_vol,8区间代理 × 8记忆/分解参数 × 4方向非对称 × 12覆盖率,3072,False,区间代理共线、日频样本不足以稳定估计过多层级。,reserve_only_not_created_not_run
V55,A1,分布学习,quantile_regression_forest,分位回归森林,qrf,Quantile Regression Forests,Meinshausen,2006,https://www.jmlr.org/papers/v7/meinshausen06a.html,V41 的局部相似度与 V48 的多通道边际,直接估计条件分布而非距离/加权均值；叶节点经验分布提供尾部概率。,输入仅为预先锁定的因果现货特征；每棵树按过去样本训练，验证集只选固定复杂度候选。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,同一森林以 lower/upper quantile 输出两侧；或分别训练两侧但共享特征锁。,限制特征数、树深、叶最小样本和 bootstrap；用 quantile leaf shrinkage 适配小样本。,现货特征集8 × 树深/基学习器4 × 叶收缩4 × 时间权重4 × 覆盖率8,tree,8现货特征集 × 4深度/基学习器 × 4叶节点收缩 × 4时间权重 × 8覆盖率,4096,False,树模型容易在小样本中分裂过度、尾部叶节点有效样本不足。,reserve_only_not_created_not_run
V56,A1,条件极值,filtered_evt_pot,波动过滤 POT 极值,fhs_evt,Filtered historical simulation / conditional EVT,"Barone-Adesi, Giannopoulos, and Vosper",1999,https://onlinelibrary.wiley.com/doi/10.1002/%28SICI%291096-9934%28199908%2919%3A5%3C583%3A%3AAID-FUT5%3E3.0.CO%3B2-S,V17/V19 的尾部簇和跳变强度,先过滤时变波动，再在超阈值残差上做 POT，而非把极端计数直接当分数。,用因果区间波动或 HAR 过滤 O2O 残差；阈值只在 Development 预注册集合内选择，不能看 Test。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,下跌与上涨分别建 POT 超额尾；中间状态由过滤波动尺度解释。,高阈值候选少量化、参数池收缩到指数/GPD 两种、要求超额最小样本数。,超阈值8 × 波动过滤8 × 尾部收缩4 × 覆盖率12,evt,8阈值定义 × 8波动过滤 × 4尾部收缩 × 12覆盖率,3072,False,超阈值数量不足、GPD 形状参数不稳定、阈值选择偏差。,reserve_only_not_created_not_run
V57,A1,事件到达,discrete_hawkes_tail_intensity,日频离散 Hawkes 尾部强度,hawkes,Hawkes contagion,"Aït-Sahalia, Cacho-Diaz, and Laeven",2015,https://doi.org/10.1016/j.jfineco.2015.03.002,V17/V19 的固定窗口簇计数,用基线强度、指数衰减和自激励核表达事件到达依赖，而非固定计数窗口。,把历史大跌/大涨事件定义为过去可见 O2O/振幅超阈值，递推每日强度；不模拟盘口订单流。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,down/up 使用两条独立强度；可加跨侧抑制但预注册为单一主逻辑。,固定指数核、单一自激励系数、强度上限和 Beta/Gamma 收缩；日频事件数少时使用 pooled prior。,事件定义8 × 衰减/持续8 × 方向非对称4 × 覆盖率12,event,8事件定义 × 8衰减/持续期 × 4方向非对称 × 12覆盖率,3072,False,事件稀疏、核参数与阈值互相混淆、强自激励导致过拟合。,reserve_only_not_created_not_run
V58,A1,在线模型权重,dynamic_model_averaging,动态模型平均,dma,Dynamic model averaging,"Raftery, Kárný, and Ettler",2010,https://doi.org/10.1198/TECH.2009.08104,V33/V48 的静态多通道聚合,模型权重随历史预测损失在线更新，结构上不同于固定 weighted_mean/median。,候选专家只来自已锁定的现货单逻辑基元；每日用过去损失更新 posterior model probability，再输出 tail score。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,down/up 分别维护模型概率；不把两侧 Test 表现用于权重更新规则。,专家数量小、遗忘率离散候选、Dirichlet/指数权重收缩到均匀先验。,专家集合8 × 遗忘率8 × 更新损失4 × 覆盖率12,online,8专家集合 × 8遗忘率 × 4更新损失 × 12覆盖率,3072,False,在线权重会追逐噪声，候选专家相关性高。,reserve_only_not_created_not_run
V59,A1,日频流动性,corwin_schultz_spread_state,Corwin-Schultz 日频价差状态,corwin_schultz,A simple way to estimate bid-ask spreads,Corwin and Schultz,2012,https://doi.org/10.1111/j.1540-6261.2012.01729.x,V21–V24 的 Amihud/成交额冲击,用高低价的两日结构估计有效 bid-ask spread，机制上不是绝对收益除成交额。,仅用连续两日 high/low/close 形成 causal spread estimate；当天值只解释下一 O2O。,OHLCV/成交额可用；无盘口报价；价差估计为日频现货 proxy。,spread 状态与方向冲击共同进入 down/up 两侧；不把价差本身当方向。,固定两日公式、winsorize、滚动中位数平滑和 shrinkage，避免逐日极端价差。,估计窗口8 × 平滑8 × 状态映射4 × 覆盖率12,liquidity,8估计窗口 × 8平滑方式 × 4状态映射 × 12覆盖率,3072,False,高低价跳点、无交易日和公式偏差会污染价差状态。,reserve_only_not_created_not_run
V60,A1,复杂度,rolling_permutation_entropy,滚动排列熵,perm_entropy,Permutation entropy,Bandt and Pompe,2002,https://doi.org/10.1103/PhysRevLett.88.174102,V41/V44 的状态距离和 V49 的分位偏离,度量路径排序复杂度/可预测性，不依赖单调收益大小或距离到角点。,对过去窗口的 O2O、真实振幅或成交冲击做 ordinal pattern；当前日只更新到 t。,中证500指数现货日频 OHLCV/成交额；只使用 t 日及以前；不含期权、期货、基差、盘口或隐含波动率。,熵是共同状态；下跌/上涨由各侧方向尾部分数与熵交互映射。,嵌入维度限定 3–5、窗口离散少量化、对重复值使用固定 tie rule，避免高维排列稀疏。,窗口8 × 嵌入/分箱8 × 复杂度映射4 × 覆盖率12,complexity,8窗口 × 8嵌入/分箱设定 × 4复杂度映射 × 12覆盖率,3072,False,短样本排列模式稀疏，熵估计对 tie 和窗口很敏感。,reserve_only_not_created_not_run
