table,remote_path,local_reference_path,status,remote_rows,local_rows,remote_columns,local_columns,mismatch_cells,mismatch_rows,detail_path
01_事件八列,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_holding_period/最终执行日简表.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/01_含持有期零段反转八列表/最终执行日简表.csv,PASS,2097,2097,"['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌']","['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌']",0,0,
01_含持有期八列,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_holding_period/含持有期八列表.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/01_含持有期零段反转八列表/含持有期八列表.csv,PASS,2097,2097,"['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌']","['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌']",0,0,
01_连续诊断输出,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_holding_period/连续诊断输出.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/01_含持有期零段反转八列表/连续诊断输出.csv,PASS,2097,2097,"['形成日', '实际执行日', '三状态', 'state_strength', 'state_phase', 'fast_engine', 'slow_engine', 'direction_score', 'direction_score_continuous', 'direction_score_band', 'risk_high_count', '-1转0_score', '-1转0_冻结阈值', '-1转0_距阈值', '+1转0_score', '+1转0_冻结阈值', '+1转0_距阈值', '0转-1_score', '0转-1_冻结阈值', '0转-1_距阈值', '0转-1_释放阈值', '0转-1_距释放阈值', '0转-1_事件信号', '0转+1_score', '0转+1_冻结阈值', '0转+1_距阈值', '0转+1_释放阈值', '0转+1_距释放阈值', '0转+1_事件信号', '大涨_score', '大涨_冻结阈值', '大涨_距阈值', '大涨_预测', '大跌_score', '大跌_冻结阈值', '大跌_距阈值', '大跌_预测']","['形成日', '实际执行日', '三状态', 'state_strength', 'state_phase', 'fast_engine', 'slow_engine', 'direction_score', 'direction_score_continuous', 'direction_score_band', 'risk_high_count', '-1转0_score', '-1转0_冻结阈值', '-1转0_距阈值', '+1转0_score', '+1转0_冻结阈值', '+1转0_距阈值', '0转-1_score', '0转-1_冻结阈值', '0转-1_距阈值', '0转-1_释放阈值', '0转-1_距释放阈值', '0转-1_事件信号', '0转+1_score', '0转+1_冻结阈值', '0转+1_距阈值', '0转+1_释放阈值', '0转+1_距释放阈值', '0转+1_事件信号', '大涨_score', '大涨_冻结阈值', '大涨_距阈值', '大涨_预测', '大跌_score', '大跌_冻结阈值', '大跌_距阈值', '大跌_预测']",0,0,
02_O2O加算逐日收益与状态,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_04_returns/O2O加算逐日收益与状态.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/02_O2O加算收益与持有段计数分析/O2O加算逐日收益与状态.csv,PASS,2097,2097,"['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌', '调整后三状态', '调整原因', '阶段', '执行日开盘', 'close', 'high', 'low', '下一实际交易日', '下一交易日开盘', '执行日O2O', '行情中有执行日价格', '推定形成日', '形成日早于执行日', '原始状态', '原始策略日收益', '调整策略日收益', '指数日收益', 'O2O可评价', '原始净值', '调整净值', '指数净值', '原始超额净值', '调整超额净值', '调整相对原始净值']","['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌', '调整后三状态', '调整原因', '阶段', '执行日开盘', 'close', 'high', 'low', '下一实际交易日', '下一交易日开盘', '执行日O2O', '行情中有执行日价格', '推定形成日', '形成日早于执行日', '原始状态', '原始策略日收益', '调整策略日收益', '指数日收益', 'O2O可评价', '原始净值', '调整净值', '指数净值', '原始超额净值', '调整超额净值', '调整相对原始净值']",0,0,
02_O2O加算风险指标,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_04_returns/O2O加算风险指标.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/02_O2O加算收益与持有段计数分析/O2O加算风险指标.csv,PASS,3,3,"['series', 'start_date', 'end_date', 'observations', 'final_nav', 'total_return_pct', 'annualized_additive_return_pct', 'annualized_volatility_pct', 'sharpe', 'max_drawdown_pct', 'active_days', 'winning_directional_days', 'directional_win_rate_pct', 'daily_win_rate_pct']","['series', 'start_date', 'end_date', 'observations', 'final_nav', 'total_return_pct', 'annualized_additive_return_pct', 'annualized_volatility_pct', 'sharpe', 'max_drawdown_pct', 'active_days', 'winning_directional_days', 'directional_win_rate_pct', 'daily_win_rate_pct']",0,0,
02_持有段明细,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_04_returns/持有段明细.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/02_O2O加算收益与持有段计数分析/持有段明细.csv,PASS,630,630,"['series', 'run_id', 'state', 'start_date', 'end_date', 'year', 'phase', 'holding_days', 'segment_return', 'return_available', 'aligned_segment_return', 'is_directional']","['series', 'run_id', 'state', 'start_date', 'end_date', 'year', 'phase', 'holding_days', 'segment_return', 'return_available', 'aligned_segment_return', 'is_directional']",0,0,
02_持有段计数_按系列,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_04_returns/持有段计数_按系列.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/02_O2O加算收益与持有段计数分析/持有段计数_按系列.csv,PASS,4,4,"['series', 'state', 'segments', 'holding_days', 'mean_holding_days']","['series', 'state', 'segments', 'holding_days', 'mean_holding_days']",0,0,
02_年度段计数与信号计数_原始,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_04_returns/年度段计数与信号计数_原始.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/02_O2O加算收益与持有段计数分析/年度段计数与信号计数_原始.csv,PASS,9,9,"['year', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']","['year', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']",0,0,
03_逐年_信号与持有段计数,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_05_yearly/逐年_信号与持有段计数.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/03_逐年分析与2026表现解释/逐年_信号与持有段计数.csv,PASS,9,9,"['year', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']","['year', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']",0,0,
03_逐年_加入四个反转分析,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_05_yearly/逐年_加入四个反转分析.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/03_逐年分析与2026表现解释/逐年_加入四个反转分析.csv,PASS,9,9,"['series', 'year', 'phase', 'strategy_return_pct', 'index_return_pct', 'excess_return_pct', 'short_days', 'flat_days', 'long_days', 'directional_days', 'winning_directional_days', 'directional_win_rate_pct', 'mean_directional_return_pct', 'days', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']","['series', 'year', 'phase', 'strategy_return_pct', 'index_return_pct', 'excess_return_pct', 'short_days', 'flat_days', 'long_days', 'directional_days', 'winning_directional_days', 'directional_win_rate_pct', 'mean_directional_return_pct', 'days', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']",0,0,
03_逐年_原始三状态分析,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_05_yearly/逐年_原始三状态分析.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/03_逐年分析与2026表现解释/逐年_原始三状态分析.csv,PASS,9,9,"['series', 'year', 'phase', 'strategy_return_pct', 'index_return_pct', 'excess_return_pct', 'short_days', 'flat_days', 'long_days', 'directional_days', 'winning_directional_days', 'directional_win_rate_pct', 'mean_directional_return_pct', 'days', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']","['series', 'year', 'phase', 'strategy_return_pct', 'index_return_pct', 'excess_return_pct', 'short_days', 'flat_days', 'long_days', 'directional_days', 'winning_directional_days', 'directional_win_rate_pct', 'mean_directional_return_pct', 'days', 'zero_down_days', 'zero_up_days', 'plus_exit_days', 'minus_exit_days', 'big_up_days', 'big_down_days']",0,0,
03_2026_逐日表现分解,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_05_yearly/2026_逐日表现分解.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/03_逐年分析与2026表现解释/2026_逐日表现分解.csv,PASS,154,154,"['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌', '调整后三状态', '调整原因', '阶段', '执行日开盘', 'close', 'high', 'low', '下一实际交易日', '下一交易日开盘', '执行日O2O', '行情中有执行日价格', '推定形成日', '形成日早于执行日', '原始状态', '原始策略日收益', '调整策略日收益', '指数日收益', 'O2O可评价', '原始净值', '调整净值', '指数净值', '原始超额净值', '调整超额净值', '调整相对原始净值', 'year', 'month', 'raw_nav_2026', 'adjusted_nav_2026', 'index_nav_2026', 'adjusted_excess_2026', 'adjusted_minus_raw_2026']","['实际执行日', '三状态', '+1反转', '-1反转', '0转-1', '0转+1', '大涨', '大跌', '调整后三状态', '调整原因', '阶段', '执行日开盘', 'close', 'high', 'low', '下一实际交易日', '下一交易日开盘', '执行日O2O', '行情中有执行日价格', '推定形成日', '形成日早于执行日', '原始状态', '原始策略日收益', '调整策略日收益', '指数日收益', 'O2O可评价', '原始净值', '调整净值', '指数净值', '原始超额净值', '调整超额净值', '调整相对原始净值', 'year', 'month', 'raw_nav_2026', 'adjusted_nav_2026', 'index_nav_2026', 'adjusted_excess_2026', 'adjusted_minus_raw_2026']",0,0,
03_2026_逐月表现分解,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_05_yearly/2026_逐月表现分解.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/03_逐年分析与2026表现解释/2026_逐月表现分解.csv,PASS,8,8,"['month', 'days', 'raw_return_pct', 'adjusted_return_pct', 'index_return_pct', 'raw_active_days', 'adjusted_active_days', 'adjusted_winning_days', 'adjusted_excess_pct']","['month', 'days', 'raw_return_pct', 'adjusted_return_pct', 'index_return_pct', 'raw_active_days', 'adjusted_active_days', 'adjusted_winning_days', 'adjusted_excess_pct']",0,0,
04_历史相似行情候选_60日,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_06_mechanism/tables/历史相似行情候选_60日.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/04_历史相似行情与机制分解分析/tables/历史相似行情候选_60日.csv,PASS,7,7,"['label', 'window_end', 'rank', 'return_20', 'return_60', 'return_120', 'vol_20', 'vol_60', 'drawdown_60', 'range_20', 'gap_20', 'axis_mean_60', 'axis_std_60', 'slow_fast_mean_60', 'positive_sync_mean_60', 'negative_sync_mean_60', 'neutral_share_60', 'switch_rate_60', 'distance', 'forward_return_20', 'forward_return_60', 'forward_vol_20', 'future_switches_20', 'future_directional_days_20']","['label', 'window_end', 'rank', 'return_20', 'return_60', 'return_120', 'vol_20', 'vol_60', 'drawdown_60', 'range_20', 'gap_20', 'axis_mean_60', 'axis_std_60', 'slow_fast_mean_60', 'positive_sync_mean_60', 'negative_sync_mean_60', 'neutral_share_60', 'switch_rate_60', 'distance', 'forward_return_20', 'forward_return_60', 'forward_vol_20', 'future_switches_20', 'future_directional_days_20']",0,0,
04_历史相似行情特征对比_z值,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/runtime_outputs_06_mechanism/tables/历史相似行情特征对比_z值.csv,/Users/hzy/Desktop/0817合并查看/20260825_1248_冻结中证500输出包/本地结果对照/04_历史相似行情与机制分解分析/tables/历史相似行情特征对比_z值.csv,PASS,7,7,"['label', 'window_end', 'return_20', 'return_60', 'return_120', 'vol_20', 'vol_60', 'drawdown_60', 'range_20', 'gap_20', 'axis_mean_60', 'axis_std_60', 'slow_fast_mean_60', 'positive_sync_mean_60', 'negative_sync_mean_60', 'neutral_share_60', 'switch_rate_60']","['label', 'window_end', 'return_20', 'return_60', 'return_120', 'vol_20', 'vol_60', 'drawdown_60', 'range_20', 'gap_20', 'axis_mean_60', 'axis_std_60', 'slow_fast_mean_60', 'positive_sync_mean_60', 'negative_sync_mean_60', 'neutral_share_60', 'switch_rate_60']",0,0,
